;length;word_count;has_script;has_on_event;has_alert;has_prompt;has_confirm;has_console;has_javascript;has_vbscript;has_document;has_window;has_inner_html;has_outer_html;has_iframe;has_svg;has_dangerous_js;quote_count;equals_count;sum_count;has_url_encoding;has_html_entities;has_hex_encoding;has_unicode;tag_count;attribute_count;entropy;is_inside_quotes;has_nested_tags
7877;329;52;1;0;1;1;1;1;0;0;0;1;1;0;1;0;1;17;7;0;0;0;0;0;9;7;4.802744512362699;1;0
7878;160;20;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;4;2;0;0;0;0;0;4;2;4.508953286430378;1;0
7879;39;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;2;1;4.057855988582063;0;0
7880;38;6;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;2;1;4.306494947369445;0;0
7881;37;6;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;2;1;4.371087149178846;0;0
7882;35;6;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;2;1;4.204582217613528;0;0
7883;109;16;1;0;1;0;0;1;0;0;0;0;1;0;1;0;1;6;3;0;0;0;0;0;4;3;4.258755819609575;1;0
7884;85;13;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;6;3;0;0;0;0;0;3;3;4.511856749923721;1;0
7885;47;6;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2;1;4.192546033996711;0;0
7886;64;6;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2;1;4.048896869935886;0;0
7887;47;6;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;2;1;0;0;0;0;0;2;1;4.323220703147269;0;0
7888;43;6;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;2;1;4.280120277605719;0;0
7889;71;10;1;0;1;1;0;0;1;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;1;1;4.212764197880309;0;0
7890;114;16;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;2;3;0;0;0;0;0;4;3;4.473345580347199;0;0
7891;222;34;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;8;4;0;0;0;0;0;4;4;4.757622716791591;1;0
7892;50;7;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;2;1;4.273269689515107;0;0
7893;40;6;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;2;1;4.075070520364181;0;0
7894;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2.807354922057604;0;0
7895;147;18;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;6;3;0;0;0;0;0;6;3;4.7418253433577275;1;0
7896;83;13;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;5;2;4.245194934404623;1;0
7897;42;9;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;2;3;4.386015934528989;0;0
7898;47;6;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;2;1;4.102698831304711;0;0
7899;15;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3.3735572622751855;0;0
7900;64;7;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;0;0;0;0;2;1;4.149103503141902;0;0
7901;38;6;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;2;1;4.240962710641206;0;0
7902;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3.121928094887362;0;0
7903;115;15;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;2;2;0;0;0;0;0;4;2;4.267448721612002;0;0
